Coordinates (in mm) in engineering system:
(x is right, y is up looking from center
of mirror dish, in park position)

pix. id      x            y
 311     163.6634    -472.4556
 312     196.3961    -434.6591
 313     229.1288    -396.8627
 314     261.8615    -359.0662
 315     294.5942    -321.2698
 316     327.3268    -283.4734
 317     360.0595    -245.6769
 318     392.7922    -207.8805
 319     425.5249    -170.0840
 320     458.2576    -132.2876
 321     490.9903     -94.4911
 322     474.6239     -47.2456
 323     458.2576       0.0000
 324     441.8912      47.2456
 325     425.5249      94.4911
 326     409.1585     141.7367
 327     392.7922     188.9822
 328     376.4259     236.2278
 329     360.0595     283.4734
 330     343.6932     330.7189
 331     360.0595     415.7609
 332     310.9605     425.2100
 333     261.8615     434.6591
 334     212.7624     444.1083
 335     163.6634     453.5574
 336     114.5644     463.0065
 337      65.4654     472.4556
 338      16.3663     481.9047
 339     -32.7327     491.3538
 340     -81.8317     500.8029
 341    -130.9307     510.2520
 342    -180.0298     519.7011
 343    -212.7624     481.9047
 344    -245.4951     444.1083
 345    -278.2278     406.3118
 346    -310.9605     368.5154
 347    -343.6932     330.7189
 348    -376.4259     292.9225
 349    -409.1585     255.1260
 350    -441.8912     217.3296
 351    -474.6239     179.5331
 352    -507.3566     141.7367
 353    -540.0893     103.9402
 354    -523.7229      56.6947
 355    -507.3566       9.4491
 356    -490.9903     -37.7964
 357    -474.6239     -85.0420
 358    -458.2576    -132.2876
 359    -441.8912    -179.5331
 360    -425.5249    -226.7787
 361    -409.1585    -274.0242
 362    -392.7922    -321.2698
 363    -376.4259    -368.5154
 364    -360.0595    -415.7609
 365    -310.9605    -425.2100
 366    -261.8615    -434.6591
 367    -212.7624    -444.1083
 368    -163.6634    -453.5574
 369    -114.5644    -463.0065
 370     -65.4654    -472.4556
 371     -16.3663    -481.9047
 372      32.7327    -491.3538
 373      81.8317    -500.8029
 374     130.9307    -510.2520
 375     180.0298    -519.7011
 376     212.7624    -481.9047
 377     245.4951    -444.1083
 378     278.2278    -406.3118
 379     310.9605    -368.5154
 380     343.6932    -330.7189
 381     376.4259    -292.9225
 382     409.1585    -255.1260
 383     441.8912    -217.3296
 384     474.6239    -179.5331
 385     507.3566    -141.7367
 386     540.0893    -103.9402
 387     523.7229     -56.6947
 388     507.3566      -9.4491
 389     490.9903      37.7964
 390     474.6239      85.0420
 391     458.2576     132.2876
 392     441.8912     179.5331
 393     425.5249     226.7787
 394     409.1585     274.0242
 395     392.7922     321.2698
 396     376.4259     368.5154
 397     392.7922     453.5574
 398     343.6932     463.0065
 399     294.5942     472.4556
 400     245.4951     481.9047
 401     196.3961     491.3538
 402     147.2971     500.8029
 403      98.1980     510.2520
 404      49.0990     519.7012
 405       0.0000     529.1503
 406     -49.0990     538.5994
 407     -98.1981     548.0485
 408    -147.2971     557.4976
 409    -196.3961     566.9467
 410    -229.1288     529.1503
 411    -261.8615     491.3538
 412    -294.5942     453.5574
 413    -327.3268     415.7609
 414    -360.0595     377.9645
 415    -392.7922     340.1680
 416    -425.5249     302.3716
 417    -458.2576     264.5751
 418    -490.9903     226.7787
 419    -523.7229     188.9822
 420    -556.4556     151.1858
 421    -589.1883     113.3893
 422    -572.8220      66.1438
 423    -556.4556      18.8982
 424    -540.0893     -28.3473
 425    -523.7229     -75.5929
 426    -507.3566    -122.8385
 427    -490.9903    -170.0840
 428    -474.6239    -217.3296
 429    -458.2576    -264.5751
 430    -441.8912    -311.8207
 431    -425.5249    -359.0663
 432    -409.1585    -406.3118
 433    -392.7922    -453.5574
 434    -343.6932    -463.0065
 435    -294.5942    -472.4556
 436    -245.4951    -481.9047
 437    -196.3961    -491.3538
 438    -147.2971    -500.8029
 439     -98.1980    -510.2520
 440     -49.0990    -519.7012
 441       0.0000    -529.1503
 442      49.0990    -538.5994
 443      98.1981    -548.0485
 444     147.2971    -557.4976
 445     196.3961    -566.9467
 446     229.1288    -529.1503
 447     261.8615    -491.3538
 448     294.5942    -453.5574
 449     327.3268    -415.7609
 450     360.0595    -377.9645
 451     392.7922    -340.1680
 452     425.5249    -302.3716
 453     458.2576    -264.5751
 454     490.9903    -226.7787
 455     523.7229    -188.9822
 456     556.4556    -151.1858
 457     589.1883    -113.3893
 458     572.8220     -66.1438
 459     556.4556     -18.8982
 460     540.0893      28.3473
 461     523.7229      75.5929
 462     507.3566     122.8385
 463     490.9903     170.0840
 464     474.6239     217.3296
 465     458.2576     264.5751
 466     441.8912     311.8207
 467     425.5249     359.0663
 468     409.1585     406.3118
 469     425.5249     491.3538
 470     376.4259     500.8029
 471     327.3268     510.2520
 472     278.2278     519.7012
 473     229.1288     529.1503
 474     180.0298     538.5994
 475     130.9307     548.0485
 476      81.8317     557.4976
 477      32.7327     566.9467
 478     -16.3663     576.3958
 479     -65.4654     585.8449
 480    -114.5644     595.2940
 481    -163.6634     604.7432
 482    -212.7624     614.1923
 483    -245.4951     576.3958
 484    -278.2278     538.5994
 485    -310.9605     500.8029
 486    -343.6932     463.0065
 487    -376.4259     425.2100
 488    -409.1585     387.4136
 489    -441.8912     349.6171
 490    -474.6239     311.8207
 491    -507.3566     274.0242
 492    -540.0893     236.2278
 493    -572.8220     198.4313
 494    -605.5546     160.6349
 495    -638.2873     122.8385
 496    -621.9210      75.5929
 497    -605.5546      28.3473
 498    -589.1883     -18.8982
 499    -572.8220     -66.1438
 500    -556.4556    -113.3893
 501    -540.0893    -160.6349
 502    -523.7229    -207.8805
 503    -507.3566    -255.1260
 504    -490.9903    -302.3716
 505    -474.6239    -349.6171
 506    -458.2576    -396.8627
 507    -441.8912    -444.1083
 508    -425.5249    -491.3538
 509    -376.4259    -500.8029
 510    -327.3268    -510.2520
 511    -278.2278    -519.7012
 512    -229.1288    -529.1503
 513    -180.0298    -538.5994
 514    -130.9307    -548.0485
 515     -81.8317    -557.4976
 516     -32.7327    -566.9467
 517      16.3663    -576.3958
 518      65.4654    -585.8449
 519     114.5644    -595.2940
 520     163.6634    -604.7432
 521     212.7624    -614.1923
 522     245.4951    -576.3958
 523     278.2278    -538.5994
 524     310.9605    -500.8029
 525     343.6932    -463.0065
 526     376.4259    -425.2100
 527     409.1585    -387.4136
 528     441.8912    -349.6171
 529     474.6239    -311.8207
 530     507.3566    -274.0242
 531     540.0893    -236.2278
 532     572.8220    -198.4313
 533     605.5546    -160.6349
 534     638.2873    -122.8385
 535     621.9210     -75.5929
 536     605.5546     -28.3473
 537     589.1883      18.8982
 538     572.8220      66.1438
 539     556.4556     113.3893
 540     540.0893     160.6349
 541     523.7229     207.8805
 542     507.3566     255.1260
 543     490.9903     302.3716
 544     474.6239     349.6171
 545     458.2576     396.8627
 546     441.8912     444.1083
 547     458.2576     529.1503
 548     409.1585     538.5994
 549     360.0595     548.0485
 550     310.9605     557.4976
 551     261.8615     566.9467
 552     212.7624     576.3958
 553     163.6634     585.8449
 554     114.5644     595.2940
 555      65.4654     604.7432
 556      16.3663     614.1923
 557     -32.7327     623.6414
 558     -81.8317     633.0905
 559    -130.9307     642.5396
 560    -180.0298     651.9887
 561    -229.1288     661.4378
 562    -261.8615     623.6414
 563    -294.5942     585.8449
 564    -327.3268     548.0485
 565    -360.0595     510.2520
 566    -392.7922     472.4556
 567    -425.5249     434.6591
 568    -458.2576     396.8627
 569    -490.9903     359.0662
 570    -523.7229     321.2698
 571    -556.4556     283.4734
 572    -589.1883     245.6769
 573    -621.9210     207.8805
 574    -654.6537     170.0840
 575    -687.3864     132.2876
 576    -671.0200      85.0420
 577    -654.6537      37.7964
 578    -638.2873      -9.4491
 579    -621.9210     -56.6947
 580    -605.5546    -103.9402
 581    -589.1883    -151.1858
 582    -572.8220    -198.4314
 583    -556.4556    -245.6769
 584    -540.0893    -292.9225
 585    -523.7229    -340.1680
 586    -507.3566    -387.4136
 587    -490.9903    -434.6591
 588    -474.6239    -481.9047
 589    -458.2576    -529.1503
 590    -409.1585    -538.5994
 591    -360.0595    -548.0485
 592    -310.9605    -557.4976
 593    -261.8615    -566.9467
 594    -212.7624    -576.3958
 595    -163.6634    -585.8449
 596    -114.5644    -595.2940
 597     -65.4654    -604.7432
 598     -16.3663    -614.1923
 599      32.7327    -623.6414
 600      81.8317    -633.0905
 601     130.9307    -642.5396
 602     180.0298    -651.9887
 603     229.1288    -661.4378
 604     261.8615    -623.6414
 605     294.5942    -585.8449
 606     327.3268    -548.0485
 607     360.0595    -510.2520
 608     392.7922    -472.4556
 609     425.5249    -434.6591
 610     458.2576    -396.8627
 611     490.9903    -359.0662
 612     523.7229    -321.2698
 613     556.4556    -283.4734
 614     589.1883    -245.6769
 615     621.9210    -207.8805
 616     654.6537    -170.0840
 617     687.3864    -132.2876
 618     671.0200     -85.0420
 619     654.6537     -37.7964
 620     638.2873       9.4491
 621     621.9210      56.6947
 622     605.5546     103.9402
 623     589.1883     151.1858
 624     572.8220     198.4314
 625     556.4556     245.6769
 626     540.0893     292.9225
 627     523.7229     340.1680
 628     507.3566     387.4136
 629     490.9903     434.6591
 630     474.6239     481.9047
 631     490.9903     566.9467
 632     441.8912     576.3958
 633     392.7922     585.8449
 634     343.6932     595.2940
 635     294.5941     604.7432
 636     245.4951     614.1923
 637     196.3961     623.6414
 638     147.2971     633.0905
 639      98.1980     642.5396
 640      49.0990     651.9887
 641       0.0000     661.4378
 642     -49.0990     670.8869
 643     -98.1981     680.3361
 644    -147.2971     689.7852
 645    -196.3961     699.2343
 646    -245.4951     708.6834
 647    -278.2278     670.8869
 648    -310.9605     633.0905
 649    -343.6932     595.2940
 650    -376.4259     557.4976
 651    -409.1585     519.7011
 652    -441.8912     481.9047
 653    -474.6239     444.1083
 654    -507.3566     406.3118
 655    -540.0893     368.5154
 656    -572.8220     330.7189
 657    -605.5546     292.9225
 658    -638.2873     255.1260
 659    -671.0200     217.3296
 660    -703.7527     179.5331
 661    -736.4854     141.7367
 662    -720.1190      94.4911
 663    -703.7527      47.2456
 664    -687.3864       0.0000
 665    -671.0200     -47.2456
 666    -654.6537     -94.4911
 667    -638.2873    -141.7367
 668    -621.9210    -188.9822
 669    -605.5546    -236.2278
 670    -589.1883    -283.4734
 671    -572.8220    -330.7189
 672    -556.4556    -377.9645
 673    -540.0893    -425.2100
 674    -523.7229    -472.4556
 675    -507.3566    -519.7012
 676    -490.9903    -566.9467
 677    -441.8912    -576.3958
 678    -392.7922    -585.8449
 679    -343.6932    -595.2940
 680    -294.5941    -604.7432
 681    -245.4951    -614.1923
 682    -196.3961    -623.6414
 683    -147.2971    -633.0905
 684     -98.1980    -642.5396
 685     -49.0990    -651.9887
 686       0.0000    -661.4378
 687      49.0990    -670.8869
 688      98.1981    -680.3361
 689     147.2971    -689.7852
 690     196.3961    -699.2343
 691     245.4951    -708.6834
 692     278.2278    -670.8869
 693     310.9605    -633.0905
 694     343.6932    -595.2940
 695     376.4259    -557.4976
 696     409.1585    -519.7011
 697     441.8912    -481.9047
 698     474.6239    -444.1083
 699     507.3566    -406.3118
 700     540.0893    -368.5154
 701     572.8220    -330.7189
 702     605.5546    -292.9225
 703     638.2873    -255.1260
 704     671.0200    -217.3296
 705     703.7527    -179.5331
 706     736.4854    -141.7367
 707     720.1190     -94.4911
 708     703.7527     -47.2456
 709     687.3864       0.0000
 710     671.0200      47.2456
 711     654.6537      94.4911
 712     638.2873     141.7367
 713     621.9210     188.9822
 714     605.5546     236.2278
 715     589.1883     283.4734
 716     572.8220     330.7189
 717     556.4556     377.9645
 718     540.0893     425.2100
 719     523.7229     472.4556
 720     507.3566     519.7012
 721     523.7229     604.7432
 722     474.6239     614.1923
 723     425.5249     623.6414
 724     376.4259     633.0905
 725     327.3268     642.5396
 726     278.2278     651.9887
 727     229.1288     661.4378
 728     180.0298     670.8869
 729     130.9307     680.3361
 730      81.8317     689.7852
 731      32.7327     699.2343
 732     -16.3663     708.6834
 733     -65.4654     718.1325
 734    -114.5644     727.5816
 735    -163.6634     737.0307
 736    -212.7624     746.4798
 737    -261.8615     755.9289
 738    -294.5942     718.1325
 739    -327.3268     680.3361
 740    -360.0595     642.5396
 741    -392.7922     604.7432
 742    -425.5249     566.9467
 743    -458.2576     529.1503
 744    -490.9903     491.3538
 745    -523.7229     453.5574
 746    -556.4556     415.7609
 747    -589.1883     377.9645
 748    -621.9210     340.1680
 749    -654.6537     302.3716
 750    -687.3864     264.5751
 751    -720.1190     226.7787
 752    -752.8517     188.9822
 753    -785.5844     151.1858
 754    -769.2181     103.9402
 755    -752.8517      56.6947
 756    -736.4854       9.4491
 757    -720.1190     -37.7965
 758    -703.7527     -85.0420
 759    -687.3864    -132.2876
 760    -671.0200    -179.5331
 761    -654.6537    -226.7787
 762    -638.2873    -274.0242
 763    -621.9210    -321.2698
 764    -605.5546    -368.5154
 765    -589.1883    -415.7609
 766    -572.8220    -463.0065
 767    -556.4556    -510.2520
 768    -540.0893    -557.4976
 769    -523.7229    -604.7432
 770    -474.6239    -614.1923
 771    -425.5249    -623.6414
 772    -376.4259    -633.0905
 773    -327.3268    -642.5396
 774    -278.2278    -651.9887
 775    -229.1288    -661.4378
 776    -180.0298    -670.8869
 777    -130.9307    -680.3361
 778     -81.8317    -689.7852
 779     -32.7327    -699.2343
 780      16.3663    -708.6834
 781      65.4654    -718.1325
 782     114.5644    -727.5816
 783     163.6634    -737.0307
 784     212.7624    -746.4798
 785     261.8615    -755.9289
 786     294.5942    -718.1325
 787     327.3268    -680.3361
 788     360.0595    -642.5396
 789     392.7922    -604.7432
 790     425.5249    -566.9467
 791     458.2576    -529.1503
 792     490.9903    -491.3538
 793     523.7229    -453.5574
 794     556.4556    -415.7609
 795     589.1883    -377.9645
 796     621.9210    -340.1680
 797     654.6537    -302.3716
 798     687.3864    -264.5751
 799     720.1190    -226.7787
 800     752.8517    -188.9822
 801     785.5844    -151.1858
 802     769.2181    -103.9402
 803     752.8517     -56.6947
 804     736.4854      -9.4491
 805     720.1190      37.7965
 806     703.7527      85.0420
 807     687.3864     132.2876
 808     671.0200     179.5331
 809     654.6537     226.7787
 810     638.2873     274.0242
 811     621.9210     321.2698
 812     605.5546     368.5154
 813     589.1883     415.7609
 814     572.8220     463.0065
 815     556.4556     510.2520
 816     540.0893     557.4976
 817     556.4556     642.5396
 818     507.3566     651.9887
 819     458.2576     661.4378
 820     409.1585     670.8869
 821     360.0595     680.3361
 822     310.9605     689.7852
 823     261.8615     699.2343
 824     212.7624     708.6834
 825     163.6634     718.1325
 826     114.5644     727.5816
 827      65.4654     737.0307
 828      16.3663     746.4798
 829     -32.7327     755.9289
 830     -81.8317     765.3781
 831    -130.9307     774.8272
 832    -180.0298     784.2763
 833    -229.1288     793.7254
 834    -278.2278     803.1745
 835    -310.9605     765.3781
 836    -343.6932     727.5816
 837    -376.4259     689.7852
 838    -409.1585     651.9887
 839    -441.8912     614.1923
 840    -474.6239     576.3958
 841    -507.3566     538.5994
 842    -540.0893     500.8029
 843    -572.8220     463.0065
 844    -605.5546     425.2100
 845    -638.2873     387.4136
 846    -671.0200     349.6171
 847    -703.7527     311.8207
 848    -736.4854     274.0242
 849    -769.2181     236.2278
 850    -801.9507     198.4313
 851    -834.6834     160.6349
 852    -818.3171     113.3893
 853    -801.9507      66.1438
 854    -785.5844      18.8982
